url,title,num_headings,num_paragraphs,num_links,num_images,scraped_at
https://books.toscrape.com,All products | Books to Scrape - Sandbox,21,40,94,20,2025-07-09T18:18:56.433817
https://books.toscrape.com/index.html,All products | Books to Scrape - Sandbox,21,40,94,20,2025-07-09T18:18:58.968537
https://books.toscrape.com/catalogue/category/books_1/index.html,"Books | 
     Books to Scrape - Sandbox",21,40,94,20,2025-07-09T18:19:01.518959
https://books.toscrape.com/catalogue/category/books/travel_2/index.html,"Travel | 
     Books to Scrape - Sandbox",12,22,76,11,2025-07-09T18:19:03.713295
https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,"Mystery | 
     Books to Scrape - Sandbox",21,40,95,20,2025-07-09T18:19:06.305031
https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,"Historical Fiction | 
     Books to Scrape - Sandbox",21,40,95,20,2025-07-09T18:19:08.852334
https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,"Sequential Art | 
     Books to Scrape - Sandbox",21,40,95,20,2025-07-09T18:19:11.350593
https://books.toscrape.com/catalogue/category/books/classics_6/index.html,"Classics | 
     Books to Scrape - Sandbox",20,38,92,19,2025-07-09T18:19:13.654424
https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,"Philosophy | 
     Books to Scrape - Sandbox",12,22,76,11,2025-07-09T18:19:15.686984
https://books.toscrape.com/catalogue/category/books/romance_8/index.html,"Romance | 
     Books to Scrape - Sandbox",21,40,95,20,2025-07-09T18:19:18.133093
https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,"Womens Fiction | 
     Books to Scrape - Sandbox",18,34,88,17,2025-07-09T18:19:20.402667
https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,"Fiction | 
     Books to Scrape - Sandbox",21,40,95,20,2025-07-09T18:19:22.719584
https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,"Childrens | 
     Books to Scrape - Sandbox",21,40,95,20,2025-07-09T18:19:25.109096
https://books.toscrape.com/catalogue/category/books/religion_12/index.html,"Religion | 
     Books to Scrape - Sandbox",8,14,68,7,2025-07-09T18:19:27.365833
https://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html,"Nonfiction | 
     Books to Scrape - Sandbox",21,40,95,20,2025-07-09T18:19:30.105113
https://books.toscrape.com/catalogue/category/books/music_14/index.html,"Music | 
     Books to Scrape - Sandbox",14,26,80,13,2025-07-09T18:19:32.377800
https://books.toscrape.com/catalogue/category/books/default_15/index.html,"Default | 
     Books to Scrape - Sandbox",21,40,95,20,2025-07-09T18:19:34.988037
https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html,"Science Fiction | 
     Books to Scrape - Sandbox",17,32,86,16,2025-07-09T18:19:37.480972
https://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html,"Sports and Games | 
     Books to Scrape - Sandbox",6,10,64,5,2025-07-09T18:19:39.684149
https://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html,"Add a comment | 
     Books to Scrape - Sandbox",21,40,95,20,2025-07-09T18:19:42.000631
